rating,key_theme_1,key_theme_2,key_theme_3,key_theme_4,key_theme_5,text,NPS
3.6,accessible outside class ,  skip class? you won't pass. ,  respected ,NA,NA,Dr. Winters is a great professor! He will spend a significant amount of time helping you if you need it. He is passionate about his work and puts in a lot of effort to push students to get out of their comfort zones and think about topics in a more abstract manner. If you want to get an A in his class you have to be willing to work hard.,Passives
3.6,accessible outside class ,  skip class? you won't pass. ,  respected ,NA,NA,"The professor is very friendly and loves to give to give students life lessons. The class can be boring at times boring because he loves to bounce around topics (anatomy to life). As for the exams, quizzes, and labs, they are very easy. Best advice, memorize everything and beware of falling behind in anatomy... otherwise it will bite you in da ass!",Passives
3.6,accessible outside class ,  skip class? you won't pass. ,  respected ,NA,NA,"Funny guy, okay teacher, really easy class/tests - all multiple choice!",Passives
3.6,accessible outside class ,  skip class? you won't pass. ,  respected ,NA,NA,His lectures are permanent tangents!,Passives
3.6,accessible outside class ,  skip class? you won't pass. ,  respected ,NA,NA,"His lectures are interesting for awhile, but sometimes you get the feeling that he just likes to hear himself talk. His tests are tough.",Passives
3.6,accessible outside class ,  skip class? you won't pass. ,  respected ,NA,NA,SO confusing! And the tests are excruciating. Likes to hear himself talk.,Passives
3.6,accessible outside class ,  skip class? you won't pass. ,  respected ,NA,NA,No Comments,Passives
3.6,accessible outside class ,  skip class? you won't pass. ,  respected ,NA,NA,No Comments,Passives
3.6,accessible outside class ,  skip class? you won't pass. ,  respected ,NA,NA,a good guy,Passives
3.6,accessible outside class ,  skip class? you won't pass. ,  respected ,NA,NA,He is very student oriented...but hard to follow sometimes,Passives
4.3,accessible outside class ,  gives good feedback ,  lots of homework ,NA,NA,"a wonderful professor; I learned so much from her! does have a lot of homework, but that's to be expected given a language class.",Passives
4.3,accessible outside class ,  gives good feedback ,  lots of homework ,NA,NA,Everything good that a professor is expected to be. I provided much more detailed feedback on Scrutiny; go check it out! And man do I love her authentic Chinese accent.,Passives
4.3,accessible outside class ,  gives good feedback ,  lots of homework ,NA,NA,"Professor Teng is lovely and gracious! As a Mount Holyoke student, I definitely found the trip worthwhile.",Passives
4.3,accessible outside class ,  gives good feedback ,  lots of homework ,NA,NA,"Love professor Teng. She is always well prepared, and very helpful",Passives
4.3,accessible outside class ,  gives good feedback ,  lots of homework ,NA,NA,"nice, but tough. you have to study EVERYDAY to do well",Passives
4.3,accessible outside class ,  gives good feedback ,  lots of homework ,NA,NA,"terrible sense of humor...but tries hard, willing to go out of her way to improve the class in general. overall ok, althugh i prefer prof. shen.",Passives
4.3,accessible outside class ,  gives good feedback ,  lots of homework ,NA,NA,"helpful, attentive, and works hard at her lessons.",Passives
4.3,accessible outside class ,  gives good feedback ,  lots of homework ,NA,NA,No Comments,Passives
4.3,accessible outside class ,  gives good feedback ,  lots of homework ,NA,NA,No Comments,Passives
4.2,accessible outside class ,  amazing lectures ,  gives good feedback ,NA,NA,I really enjoy the amount of attention he puts into trying to understand where his students are coming from. He is obviously passionate about his subject and has great practical knowledge which brings the philosophical concepts we study down to a workable level for Undergrads.,Passives
